Job #,Borough,Street Name,GIS_NTA_NAME
520293138,STATEN ISLAND,WHITEWOOD AVENUE,New Brighton-Silver Lake
122984841,MANHATTAN,GREENE STREET,SoHo-TriBeCa-Civic Center-Little Italy
321535013,BROOKLYN,BEDFORD AVENUE,Crown Heights North
421454795,QUEENS,AUSTELL PLACE,Hunters Point-Sunnyside-West Maspeth
123040093,MANHATTAN,WEST 17 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123086659,MANHATTAN,AVENUE OF THE AMERICAS,Midtown-Midtown South
321186818,BROOKLYN,9 AVE,Sunset Park East
321539439,BROOKLYN,PATCHEN AVENUE,Stuyvesant Heights
220589487,BRONX,EAST 186TH STREET,Belmont
421456258,QUEENS,31 AVE.,Astoria
123085106,MANHATTAN,6TH AVENUE,Midtown-Midtown South
123037597,MANHATTAN,SICKLES STREET,Washington Heights North
123095033,MENHATTAN,CORTLANDT STREET,Battery Park City-Lower Manhattan
123095033,MANHATTAN,CORTLANDT STREET,Battery Park City-Lower Manhattan
123095033,MANHATTAN,CORTLANDT STREET,Battery Park City-Lower Manhattan
321574649,BROOKLYN,27TH AVENUE,Gravesend
421107849,QUEENS,137TH AVE,Laurelton
121275280,MANHATTAN,LINCOLN SQUARE,Lincoln Square
421480061,QUEENS,SANTIAGO STREET,Jamaica Estates-Holliswood
121242155,MANHATTAN,MORNINGSIDE DRIVE,Morningside Heights
321626692,BROOKLYN,EAST 18TH STREET,Flatbush
321606892,BROOKLYN,NORTH 6 ST,North Side-South Side
321587920,BROOKLYN,JEFFERSON STREET,Bushwick South
123297761,MANHATTAN,WEST 43RD STREET,Clinton
421485841,QUEENS,102ND AVE,Queens Village
321194319,BROOKLYN,3RD AVE,Sunset Park West
123308278,MANHATTAN,CENTRAL PARK WEST,Upper West Side
302575185,BROOKLYN,PENNSYLVANIA AVENUE,East New York (Pennsylvania Ave)
340535399,BROOKLYN,ST MARKS AVE,Crown Heights North
123110846,MANHATTAN,WEST 168 STREET,Washington Heights South
123138700,MANHATTAN,WEST 168 STREET,Washington Heights South
321518112,BROOKLYN,EAST 9TH STREET,Midwood
321194284,BROOKLYN,3RD AVE,Sunset Park West
421553090,QUEENS,110 STREET,Forest Hills
520307668,STATEN ISLAND,WOODROW ROAD,Arden Heights
123180075,MANHATTAN,7TH AVENUE,Midtown-Midtown South
123335417,MANHATTAN,FIFTH AVENUE,Upper East Side-Carnegie Hill
123335417,MANHATTAN,FIFTH AVENUE,Upper East Side-Carnegie Hill
123336069,MANHATTAN,EAST 7TH STREET,Lower East Side
240200386,BRONX,EAST 181 STREET,Mount Hope
321661493,BROOKLYN,DOUGLASS STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
220620228,BRONX,EDISON AVENUE,Schuylerville-Throgs Neck-Edgewater Park
340759423,BROOKLYN,SARATOGA AVE.,Brownsville
321646698,BROOKLYN,NEW YORK AVENUE,East Flatbush-Farragut
123077892,MANHATTAN,WEST 16TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
220603693,BRONX,E 219 STREET,Williamsbridge-Olinville
421592468,QUEENS,MENAHAN STREET,Ridgewood
123228578,MANHATTAN,5TH AVENUE,Midtown-Midtown South
340561163,BROOKLYN,SCHENCK AVE,East New York
321726469,BROOKLYN,GRAND STREET,North Side-South Side
421563515,QEENS,BEACH 87 STREET,Hammels-Arverne-Edgemere
340576861,BROOKLYN,LAFAYETTE AVENUE,Bedford
321780649,BROOKLYN,PUTNAM AVENUE,Stuyvesant Heights
140741151,MANHATTAN,WEST 123 STREET,Morningside Heights
201202180,BRONX,SOUTHERN BLVD,Mott Haven-Port Morris
140752326,MANHATTAN,WEST 44TH STREET,Clinton
340595485,BROOKLYN,MAC DONOUGH STREET,Stuyvesant Heights
140753637,MANHATTAN,6TH AVENUE,SoHo-TriBeCa-Civic Center-Little Italy
420663641,QUEENS,ROOSEVELT AVENUE,North Corona
123426444,MANHATTAN,EAST 26 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
321646698,BROOKLYN,NEW YORK AVENUE,East Flatbush-Farragut
302582667,BROOKLYN,OSBORN STREET,Brownsville
321750609,BROOKLYN,NORTH 1 STREET,North Side-South Side
321718432,BROOKLYN,59 STREET,Borough Park
321753759,BROOKLYN,11 AVENUE,Dyker Heights
421104860,QUEENS,GOTHIC DRIVE,Briarwood-Jamaica Hills
123216910,MANHATTAN,E 68 STREET,Lenox Hill-Roosevelt Island
421456258,QUEENS,31 AVE.,Astoria
220651694,BRONX,GRAND CONCOURSE,Bedford Park-Fordham North
321767343,BROOKLYN,66 ST,Sunset Park East
123553332,MANHATTAN,HAVEN AVENUE,Washington Heights South
123576576,MANHATTAN,PARK AVENUE,Murray Hill-Kips Bay
340606810,BROOKLYN,DEGRAW STREET,Carroll Gardens-Columbia Street-Red Hook
321774200,BROOKLYN,WEST STREET,Homecrest
123499945,MANHATTAN,PARK AVENUE,Turtle Bay-East Midtown
123485674,MANHATTAN,WEST 58TH STREET,Midtown-Midtown South
123485674,MANHATTAN,WEST 58TH STREET,Midtown-Midtown South
520339964,STATEN ISLAND,JEWETT AVENUE,Westerleigh
421105681,QUEENS,57TH AVENUE,Hunters Point-Sunnyside-West Maspeth
520304493,STATEN ISLAND,LEASON PLACE,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
